address,latitude,longitude
9151 CHALMERS ST DETROIT 48213,42.406351,-82.965863
7220 GRATIOT AVE DETROIT 48213,42.373027,-83.018361
2351 12 MILD RD BERKLEY 48072,42.512277,-83.138097
12500 MITCHELL ST DETROIT 48212,42.409008,-83.064149
33030 VAN BORN RD ROMULUS 48174,42.267807,-83.363641
26998 WOODWARD AVE ROYAL OAK 48067,42.488704,-83.156893
550 STEPHENSON HWY TROY 48083,42.539198,-83.118933
15531 LINWOOD ST DETROIT 48238,42.406038,-83.12807
19760 MEYERS RD DETROIT 48235,42.437253,-83.170444
17050 RAUPP RD MELVINDALE 48122,42.286514,-83.166545
6145 CANYON ST DETROIT 48224,42.420757,-82.924286
12800 HARPER DETROIT 48213,42.401779,-82.973797
95 VICTOR ST HIGHLAND PARK 48203,42.40761,-83.094331
25650 OUTER DR W LINCOLN PARK 48146,42.263998,-83.170717
2001 W WARREN AVE DETROIT 48208,42.349463,-83.083959
7310 WOODWARD AVE DETROIT 48202,42.37085,-83.07287
12411 SEVEN MILE E DETROIT 48205,42.435074,-82.998268
924 CEDAR ST FLINT 48503,43.00679,-83.698302
432 SAGINAW ST FLINT 48502,43.016189,-83.691545
611 MARTIN LUTHER KING JR BLVD DETROIT 48201,42.344389,-83.063377
1355 OAKMAN BLVD DETROIT 48238,42.399389,-83.120983
13501 ROSA PARKS BLVD DETROIT 48238,42.396503,-83.113674
26212 SIX MILE RD REDFORD TOWNSHIP 48240,42.41447,-83.301745
24424 W MCNICHOLS RD DETROIT 48219,42.414693,-83.281424
730 S LAFAYETTE ROYAL OAK 48067,42.484163,-83.148356
15755 BREMEN STREET DETROIT 48224,42.394227,-82.94108
4835 LINCOLN ST DETROIT 48201,42.352183,-83.077636
5200 WOODWARD AVE DETROIT 48202,42.359425,-83.064416
4214 WEST VERNOR HWY DETROIT 48209,42.321082,-83.094364
8601 WOODWARD AVE DETROIT 48202,42.378855,-83.079727
706 DAVIS ST YPSILANTI 48198,42.236134,-83.599417
26650 EUREKA RD TAYLOR 48180,42.196861,-83.297453
2959 MARTIN LUTHER KING JR BLVD,42.335486,-83.088219
5901 CONNER ST DETROIT 48213,42.394258,-82.98694
894 E HURON RIVER DR BELLEVILLE 48111,42.20915,-83.470772
300 W MCNICHOLS RD DETROIT 48203,42.417967,-83.10733
3410 FENTON RD FLINT 48507,42.990973,-83.693947
751 HENDRIE BLVD ROYAL OAK 48067,42.483213,-83.1518
3535 3RD ST DETROIT 48201,42.344679,-83.065819
2790 COOLIDGE HWY BERKLEY 48072,42.497738,-83.183334
3333 BIDDLE AVE WYANDOTTE 48192,42.200005,-83.150555
2 WOODWARD AVE DETROIT 48226,42.329671,-83.043719
12840 HAMILTON AVE HIGHLAND PARK 48203,42.396638,-83.102117
903 W GRAND BLVD DETROIT MI,42.332978,-83.097576
16427 W WARREN AVE DETROIT 48228,42.343247,-83.206734
5858 VERNOR HWY DETROIT 48209,42.316862,-83.104959
805 W. HURON ST ANN ARBOR 48103,42.281425,-83.756887
2518 MARKET ST DETROIT 48207,42.346454,-83.039157
27690 VAN DYKE AVE WARREN 48093,42.49763,-83.02626
1401 VERMONT DETROIT 48216,42.325455,-83.070631
4550 I-96 DETROIT 48208,42.351458,-83.10069
28477 HOOVER RD WARREN 48093,42.503341,-83.007097
8575 HERITAGE PLACE DETROIT 48204,42.3634,-83.122089
24831 SUMPTER RD BELLEVILLE 48111,42.121761,-83.480591
445 LEDYARD ST DETROIT 48201,42.339767,-83.058431
500 GRISWOLD ST DETROIT 48226,42.329539,-83.046072
13330 CONANT DETROIT 48212,42.414684,-83.060328
812 ROOT ST FLINT 48503,43.023564,-83.695829
2727 2ND AVE DETROIT 48201,42.340013,-83.061675
3436 MACK AVE DETROIT 48207,42.359584,-83.025868
13220 WOODWARD AVE HIGHLAND PARK 48203,42.402062,-83.094522
5555 CONNER ST #1038 DETROIT 48213,42.390274,-82.982155
309 ECORSE RD YPSILANTI 48198,42.237075,-83.596779
468 CADIEUX RD GROSSE POINTE 48230,42.383086,-82.912899
3804 HAZEL AVE LINCOLN PARK 48146,42.229013,-83.198179
2050 15TH ST DETROIT 48216,42.32834,-83.075486
"220 W CONGRESS ST, 2ND FLOOR #300 DETROIT 48226",42.329263,-83.048689
14548 JOY RD DETROIT 48228,42.358704,-83.186979
5161 CHARLES STREET DETROIT 48212,42.41249,-83.049042
5536 ST ANTOINE DETROIT 48202,42.364828,-83.05946
249 BALDWIN AVE PONTIAC 48342,42.651632,-83.299754
20025 GREENFIELD RD DETROIT 48235,42.440086,-83.200664
8950 CRANE STREET DETROIT 48213,42.394793,-83.014642
6528 MANSFIELD STREET DETROIT 48228,42.339493,-83.201705
9605 W GRAND RIVER AVE DETROIT 48204,42.367361,-83.135972
37595 7 MILE LIVONIA 48152,42.423992,-83.4157
7101 PARK AVE ALLEN PARK 48101,42.255647,-83.208134
18240 HUNTINGTON ROAD DETROIT 48219,42.423296,-83.2326
28720 STEPHENSON HWY MADION HEIGHTS 48071,42.503825,-83.116908
16129 BEAVERLAND ST DETROIT MI,42.408328,-83.266124
3000 12 MILE RD WARREN 48092,42.504779,-83.075334
26 PETERBORO ST DETROIT 48201,42.345403,-83.05762
7125 ORCHARD LAKE RD WEST BLOOMFIELD TOWNSHIP 48322,42.532834,-83.358963
4717 ST ANTOINE DETROIT 48201,42.358015,-83.056962
1964 W ELEVEN MILE RD BERKLEY 48072,42.499235,-83.181077
1234 PORTER ST DETROIT 48226,42.329505,-83.061179
25340 OUTER DR W LINCOLN PARK 48146,42.266895,-83.177328
1381 SOUTHFIELD RD LINCOLN PARK 48146,42.250565,-83.179824
15361 PLYMOUTH RD DETROIT 48227,42.372326,-83.195895
140 SUPERIOR BLVD DETROIT 48192,42.206745,-83.15097
13874 GRAND RIVER AVE DETROIT 48227,42.386398,-83.181569
40111 DODGER PARK RD STERLING HEIGHTS 48313,42.588625,-83.012502
19750 BURT RD DETROIT MI,42.436067,-83.24818
10633 COURVILLE ST DETROIT 48224,42.415692,-82.956336
6495 W WARREN AVE DETROIT 48210,42.344185,-83.133796
22000 GRAND RIVER AVE DETROIT MI,42.416931,-83.257847
5900 MCCLELLAN AVE DETROIT 48213,42.388414,-83.005021
7425 FIELDING ST DETROIT 48228,42.346267,-83.240797
3901 MARGARETA AVE DETROIT 48221,42.428051,-83.138527
3811 CICOTTE STREET DETROIT 48210,42.32811,-83.122317
211 GLENDALE AVE HIGHLAND PARK 48203,42.396764,-83.099609
1700 WATERMAN ST DETROIT 48209,42.312303,-83.113477
1456 MICHIGAN AVE DETROIT MI,42.331569,-83.066503
3729 W CHICAGO DETROIT 48206,42.372725,-83.120976
18313 JOHN R ST HIGHLAND PARK 48203,42.426402,-83.102417
4821 E MCNICHOLS RD HAMTRAMCK 48212,42.418995,-83.054387
4410 PORTER ST DETROIT 48209,42.316253,-83.094312
24140 MOUND RD WARREN 48091,42.470645,-83.043744
9600 WYOMING AVE DETROIT 48204,42.367338,-83.157079
29753 GRATIOT AVE ROSEVILLE 48066,42.516027,-82.925463
9104 RATHBONE ST DETROIT 48209,42.301206,-83.131073
3031 W GRAND BLVD STE 800 DETROIT 48202,42.3699214,-83.0786055
22261 FENKELL AVE DETROIT 48223,42.40003,-83.260295
1583 FORT ST LINCOLN PARK 48146,42.252456,-83.173906
1246 MELDRUM ST DETROIT 48207,42.348782,-83.011603
10301 WOODWARD AVE DETROIT 48202,42.389825,-83.087051
16650 GLENDALE STREET DETROIT 48227,42.382801,-83.210849
31581 GRATIOT AVE ROSEVILLE 48066,42.529189,-82.916673
2700 HAMLIN BLVD INKSTER 48141,42.291382,-83.311635
12850 PLYMOUTH RD DETROIT 48227,42.373512,-83.170246
14700 E 8 MILE RD DETROIT 48205,42.449355,-82.972001
4300 S DEARBORN ST MELVINDALE 48122,42.293317,-83.181517
31114 HAGGERTY RD FARMINGTON HILLS 48331,42.525178,-83.436798
440 BURROUGHS ST DETROIT 48202,42.36507,-83.073009
8600 WOODWARD AVE DETROIT 48202,42.379165,-83.078823
8733 VERNOR HWY DETROIT 48209,42.308852,-83.133102
7140 E. 7 MILE RD DETROIT 48234,42.43367,-83.029899
2715 MACOMB STREET DETROIT 48207,42.344187,-83.024267
2005 BIDDLE AVE WYANDOTTE 48192,42.213522,-83.149652
6945 WAGNER ST DETROIT 48210,42.339314,-83.135832
3901 CHRISTOPHER ST SUITE D DETROIT 48211,42.392814,-83.045665
24590 GEORGE AVE DEARBORN HEIGHTS 48127,42.331907,-83.277112
9860 PARK DR DETROIT 48213,42.408169,-82.979393
1726 HOWARD ST DETROIT 48216,42.325182,-83.066313
15801 W MCNICHOLS RD DETROIT 48235,42.415703,-83.20231
15212 MICHIGAN AVE DEARBORN 48126,42.317655,-83.192056
550 CHENE DETROIT 48207,42.340778,-83.023445
1100 SHERIDAN ST DETROIT 48214,42.352633,-83.001403
2799 W GRAND BLVD DETROIT 48202,42.367881,-83.08634
4200 MARTIN ST DETROIT 48210,42.330052,-83.12607
1116 W. BRISTOL RD FLINT 48507,42.974124,-83.698025
1981 MCKINSTRY ST DETROIT 48209,42.320541,-83.098162
7887 CHRYSLER DR DETROIT 48211,42.379957,-83.065149
3 WEST EDEN CT ANN ARBOR 48108,42.23387,-83.712426
2400 CENTRAL STREET DETROIT 48209,42.314272,-83.125002
256 W GRAND BLVD DETROIT 48216,42.317456,-83.08474
4646 JOHN R ST DETROIT MI,42.355583,-83.058813
15827 INDIANA ST DETROIT MI,42.40805,-83.157913
4646 JOHN R DETROIT 48201,42.355717,-83.059014
4626 GRAND RIVER AVE DETROIT 48208,42.347368,-83.08301
6900 MCGRAW AVE DETROIT 48210,42.33818,-83.134746
17045 GRAND RIVER AVE DETROIT 48227,42.397839,-83.213317
1400 W STADIUM BLVD ANN ARBOR 48103,42.264302,-83.764044
57 SOUTHBOUND GRATIOT AVE MT CLEMENS 48043,42.59294,-82.881154
23501 SUMPTER RD BELLEVILLE 48111,42.13228,-83.480859
14799 DIX TOLEDO RD SOUTHGATE 48195,42.2022,-83.207261
7607 VERNOR HWY DETROIT 48209,42.312926,-83.123089
8765 ORANGELAWN ST DETROIT MI,42.369208,-83.155582
11475 OUTER DR E DETROIT 48224,42.405671,-82.948623
3000 CONNER ST DETROIT 48215,42.379805,-82.964632
111 W SEVEN MILE RD HIGHLAND PARK 48203,42.431983,-83.104137
39000 W SEVEN MILE RD LIVONIA 48152,42.428188,-83.428077
438 ST ANTOINE ST DETROIT 48226,42.331967,-83.038259
8129 PACKARD AVE WARREN 48089,42.459061,-83.023888
223 S MAIN ST PLYMOUTH 48170,42.371949,-83.467757
18728 ECORSE RD ALLEN PARK 48101,42.256662,-83.226055
1150 E LANTZ ST DETROIT 48203,42.436596,-83.091698
1200 N TELEGRAPH PONTIAC 48341,42.654035,-83.321119
1300 E WARREN AVE DETROIT 48207,42.36134,-83.05139
13801 FENKELL AVE DETROIT 48227,42.401777,-83.181399
16500 TIREMAN AVE DETROIT 48228,42.351367,-83.208771
16077 MICHIGAN AVE DEARBORN 48126,42.31337,-83.2001
21000 NORTHLINE RD TAYLOR 48180,42.213111,-83.238859
5048 BALFOUR RD DETROIT 48224,42.400751,-82.94696
3901 CHRYSLER DR DETROIT 48201,42.352471,-83.051546
10431 GRAND RIVER DETROIT 48204,42.370724,-83.146677
